oid,gender,role_count,birth_year,decade
4da1959cb538b73d93004cfa,"""male""",1.0,1940,1940s
4da1a920b538b73d9301afb2,"""male""",1.0,1951,1950s
4da1a92db538b73d9301b013,"""male""",1.0,1930,1930s
4da1a92db538b73d9301afff,"""male""",1.0,1925,1920s
4da1ea98b538b73d9302a584,"""female""",2.0,1955,1950s
4da1a97fb538b73d9301b290,"""male""",3.0,1927,1920s
4da1c557b538b73d930257cf,"""female""",1.0,1955,1950s
4da1a9cab538b73d9301b508,"""male""",3.0,1914,1910s
4da1a9ceb538b73d9301b57e,"""male""",4.0,1947,1940s
4da1b6ddb538b73d930207ba,"""male""",6.0,1931,1930s
4e1f928f72edc24d91000397,"""female""",6.0,1947,1940s
4da1b4f0b538b73d9301ed2e,"""male""",5.0,1949,1940s
4da1aa3eb538b73d9301b7c6,"""female""",1.0,1953,1950s
4e1f928f72edc24d9100039c,"""female""",4.0,1949,1940s
4da1aa57b538b73d9301b8c0,"""female""",4.0,1941,1940s
4f157919d707ff6537000002,"""female""",2.0,1971,1970s
4da1bcceb538b73d9302371a,"""male""",5.0,1935,1930s
4da1aa91b538b73d9301bc30,"""male""",3.0,1912,1910s
4da1ab44b538b73d9301bd2b,"""female""",6.0,1904,1900s
4da1ab6db538b73d9301be4d,"""female""",6.0,1955,1950s
4da1ab7db538b73d9301bfc8,"""male""",1.0,1955,1950s
4e1f929172edc24d910003be,"""male""",1.0,1937,1930s
4da1abbbb538b73d9301c14f,"""female""",1.0,1925,1920s
4da1b94bb538b73d93021b2b,"""male""",1.0,1935,1930s
4da1b296b538b73d9301e66c,"""female""",8.0,1959,1950s
4da1ac24b538b73d9301c209,"""male""",3.0,1949,1940s
4da1ac44b538b73d9301c3bf,"""male""",1.0,1958,1950s
4da1dd6bb538b73d93028e7b,"""male""",4.0,1951,1950s
4da1b1d6b538b73d9301e19d,"""male""",1.0,1957,1950s
4da1ac62b538b73d9301c52b,"""male""",1.0,1932,1930s
4da1acedb538b73d9301c6db,"""female""",1.0,1935,1930s
4da1ac84b538b73d9301c657,"""male""",5.0,1905,1900s
4da1ba2bb538b73d93021f3a,"""male""",5.0,1949,1940s
4da1a4bbb538b73d93019733,"""female""",1.0,1963,1960s
4da1adb7b538b73d9301cb89,"""male""",2.0,1927,1920s
4da1fd04b538b73d9302bf00,"""female""",3.0,1949,1940s
4da1ae84b538b73d9301cdbf,"""male""",2.0,1913,1910s
4da1bc45b538b73d930233fb,"""female""",3.0,1948,1940s
4da1b88ab538b73d9302186b,"""male""",1.0,1963,1960s
4da1aeacb538b73d9301cfd4,"""male""",2.0,1938,1930s
4ee49f66d707ff75d1000005,"""female""",2.0,1944,1940s
4da1af85b538b73d9301d5bd,"""female""",1.0,1932,1930s
4da1af87b538b73d9301d5c6,"""male""",2.0,1948,1940s
4da1ca33b538b73d93026bf6,"""female""",2.0,1957,1950s
