oid,gender,role_count,birth_year,decade
4da196bab538b73d93008ff0,"""female""",3.0,1955,1950s
513fd59ed707ff6bcd001803,"""male""",3.0,1936,1930s
4e5f11edd707ff699b000088,"""male""",1.0,1949,1940s
4da196d1b538b73d93009417,"""female""",4.0,1967,1960s
4da196d9b538b73d93009516,"""male""",1.0,1954,1950s
4da196ddb538b73d93009590,"""female""",1.0,1960,1960s
4e5b1aedd707ff2138000008,"""female""",4.0,1941,1940s
4e338d27d707ff252b000000,"""female""",2.0,1984,1980s
4da1df8db538b73d930298c7,"""male""",1.0,1945,1940s
4e66ec2ed707ff127100002e,"""male""",1.0,1940,1940s
4da196b9b538b73d93008f9c,"""male""",2.0,1952,1950s
4da1d3efb538b73d930280c2,"""female""",8.0,1933,1930s
4da19891b538b73d9300da39,"""male""",8.0,1970,1970s
4da1d067b538b73d93027de3,"""female""",1.0,1969,1960s
4da1f5beb538b73d9302b64e,"""female""",4.0,1928,1920s
4da196ebb538b73d930099a1,"""male""",4.0,1912,1910s
4da196f0b538b73d93009b14,"""male""",2.0,1900,1900s
4da1afbbb538b73d9301d933,"""male""",2.0,1940,1940s
4e9ea85ad707ff2d7b000005,"""male""",1.0,1911,1910s
4da1b5dab538b73d9301faa4,"""male""",5.0,1918,1910s
4da196f7b538b73d93009d0c,"""male""",3.0,1955,1950s
4da19716b538b73d9300a11b,"""male""",3.0,1920,1920s
4da1eb5fb538b73d9302ab09,"""female""",4.0,1948,1940s
4da19721b538b73d9300a2d0,"""male""",2.0,1940,1940s
4da19723b538b73d9300a31b,"""female""",1.0,1948,1940s
4da19721b538b73d9300a2e4,"""female""",1.0,1955,1950s
4da19593b538b73d930049e7,"""female""",9.0,1946,1940s
4da1d518b538b73d9302822f,"""female""",1.0,1950,1950s
4da19737b538b73d9300a675,"""male""",1.0,1940,1940s
4da1eb5ab538b73d9302a926,"""male""",12.0,1958,1950s
4da1e270b538b73d93029f84,"""male""",3.0,1900,1900s
4da19747b538b73d9300a96d,"""female""",2.0,1949,1940s
4da19757b538b73d9300ab4f,"""female""",2.0,1954,1950s
4da1975eb538b73d9300abda,"""male""",2.0,1948,1940s
4da1976eb538b73d9300ad30,"""male""",3.0,1920,1920s
4e5212a0d707ff1dc7008c52,"""male""",4.0,1923,1920s
4da1976fb538b73d9300ad53,"""female""",1.0,1959,1950s
4da1e655b538b73d9302a3d9,"""male""",3.0,1942,1940s
4da19771b538b73d9300ae20,"""female""",4.0,1964,1960s
4da19774b538b73d9300aef4,"""female""",2.0,1943,1940s
4da19780b538b73d9300b0d5,"""male""",4.0,1906,1900s
4da19780b538b73d9300b0e4,"""female""",1.0,1909,1900s
