0,1,2,3,Year
,A M E Bale,James Anderson,,1923
,Lawson Balfour,Mrs Robson,,1923
,Lawson Balfour,Wm Lister Lister,,1923
,Lawson Balfour,"A Wallace Wichen, MD",,1923
,Herbert Beecroft,Thelma Harris,,1923
,George Bell,Daryl Lindsay,,1923
,Arthur Harold Brown-Beresford,Major General Sir Charles Rosenthal,,1923
,Norman Carter,Leon Gellert,,1923
/prizes/archibald/1923/15149/,Norman Carter,Peter Board,,1923
,Norman Carter,David Reid,,1923
,Norman Carter,Portrait study,,1923
/prizes/archibald/1923/15578/,Aileen R Dent,Peter Kirk,,1923
,Bernice Edwell,"LA Adamson, Esq",,1923
,Portia Geach,Mrs Edith Cowan,,1923
,May Gower,Hammond Toms,,1923
,May Gower,Miss McConaghy,,1923
,Lindsay Bernard Hall,General Ryan,,1923
,Lindsay Bernard Hall,Mrs Sydney Pern,,1923
,A Elizabeth Kelly,"Rev Charles Perry, MA",,1923
,Vince Lysaght,Sir Matthew Nathan,,1923
/prizes/archibald/1923/17374/,W B McInnes,Portrait of a lady,(Winner: Archibald Prize 1923),1923
,W B McInnes,Sir Baldwin Spencer,,1923
/prizes/archibald/1923/17375/,W B McInnes,James Dyer,,1923
,W B McInnes,Professor David Masson,,1923
,William Macleod,John Spence,,1923
,William Macleod,JF Archibald,,1923
,William Macleod,Mary Edwards,,1923
/prizes/archibald/1923/17201/,William Macleod,Percy Leason,,1923
,William S Millington,Mrs Millington,,1923
,Agnes Paterson,Miniature,,1923
,RW Phillips,Self-portrait,,1923
,Florence Aline Rodway,Sir Alexander MacCormick,,1923
,Clarice Sandford,Saunders F Nicholls,,1923
,Arnold Joseph Victor Shore,Self-portrait,,1923
,S Scott Sudlow,Self-portrait,,1923
,Jo Sweatman,Harold C Smith,,1923
,Frederick Lyttelton Tregear,Frank Hutchens,,1923
,Frederick Lyttelton Tregear,Mrs Wm Moore (Dora Wilcox),,1923
/prizes/archibald/1923/19016/,Lyall Trindall,Mr E Lyons,,1923
,Lyall Trindall,Self-portrait,,1923
,Charles Wheeler,Self-portrait,,1923
,Joseph Wolinski,David Gilpin,,1923
,Joseph Wolinski,J C Bradfield,,1923
,Joseph Wolinski,S H Solomon,,1923
,Joseph Wolinski,Thomas Nesbitt,,1923
,A Marriott Woodhouse,Brigadier General W Ramsay McNicoll,,1923
,James Muir Auld,"Mr George Finey, artist",,1924
,A M E Bale,Miss Mollie Agnew,,1924
/prizes/archibald/1924/14657/,A M E Bale,Miss Clive Walsh,,1924
,Lawson Balfour,Charles Bryant,,1924
,George Bell,Mrs Edward White,,1924
,James A Bowman,Mr Thomas Hall,,1924
,Ernest Buckmaster,Portrait of a lady,,1924
,Ernest Buckmaster,Portrait of a violinist,,1924
,Ernest Buckmaster,A Warrant Officer,,1924
,Norman Carter,Mr Bryce Carter,,1924
,John J Collins,Mr Fritz Bennecke Hart,,1924
,Bessie Cooper,Mrs Gunn,,1924
,Antonio Dattilo-Rubbo,Portrait of a lady,,1924
,Antonio Dattilo-Rubbo,Nelson Illingworth,,1924
/prizes/archibald/1924/15541/,Antonio Dattilo-Rubbo,Self-portrait,,1924
,Thomas Dean,Portrait,,1924
,Aileen R Dent,AL Montague (Professor of Music),,1924
,Aileen R Dent,Mr John D O'Hara (actor),,1924
,Aileen R Dent,Miss Ethel Wellesley (acts),,1924
,Charles Goode,Self-portrait,,1924
,Ray S Gower,Lawson Balfour (artist),,1924
,Ray S Gower,Portrait of a girl,,1924
,David Grieve,Self-portrait,,1924
,May Grigg,Miss Bertha Lavery,,1924
,John J Hennessy,Self-portrait,,1924
,John Macdonnel,Portrait,,1924
,W B McInnes,Jean,,1924
,W B McInnes,Sir Baldwin Spencer,,1924
,W B McInnes,Ruth,,1924
/prizes/archibald/1924/17378/,W B McInnes,Miss Collins,(Winner: Archibald Prize 1924),1924
,W B McInnes,Mr Agar Wynn,,1924
,Benjamin Edward Minns,Portrait,,1924
/prizes/archibald/1924/18225/,Harry Linley Richardson,Miss DK Richmond,,1924
,Joshua Smith,"The Honourable A Bruntnell, MLA",,1924
,Frederick Lyttelton Tregear,The artist's mother,,1924
,J S Watkins,Professor Brennan,,1924
,Charles Wheeler,Portrait,,1924
,Charles Wheeler,Portrait,,1924
,A Marriott Woodhouse,Portrait of a lady,,1924
,A Marriott Woodhouse,Self-portrait,,1924
,Mary Cecil Allen,Miss Alice Guest,,1925
/prizes/archibald/1925/14514/,Mary Cecil Allen,Mrs RD Elliott,,1925
,H B Armstrong,"AM Armstrong, Esq",,1925
,James Muir Auld,Self-portrait,,1925
,James Muir Auld,Jack,,1925
,A M E Bale,Miss Mollie Agnew,,1925
,A M E Bale,"W Mountier Bale, Esq",,1925
,Lawson Balfour,Portrait of a lady,,1925
,Lawson Balfour,"The Hon JC White, MLC",,1925
,Lawson Balfour,"HW Apperly, Esq",,1925
,Lawson Balfour,Portrait of a lady,,1925
,George Bell,"Bernard Heinze, Esq",,1925
,George Bell,Mrs George Bell,,1925
,Bessie Boultbee,Miss Mabel Barling,,1925
,Bessie Boultbee,An artist,,1925
,James A Bowman,"CJ Jeffries, Esq",,1925
,Walter Armiger Bowring,Self-portrait,,1925
,Walter Armiger Bowring,Mrs WA Bowring,,1925
,Ernest Buckmaster,Mr Dosser,,1925
,Ernest Buckmaster,John Shirlow (etcher),,1925
,Ernest Buckmaster,Portrait of a lady,,1925
,Ernest Buckmaster,The artist's mother,,1925
,Ernest Buckmaster,Mr Watts,,1925
,Norman Carter,"Sir William McMillan, KCMG",,1925
,Norman Carter,Alfred O'Shea (tenor singer),,1925
,Norman Carter,"The Hon WM Hughes, PC",,1925
,Norman Carter,"Miss Lelia Coppola, BA",,1925
,Norman Carter,"Miss Gladys Marks, BA",,1925
,William Gilbert Collins,Miss Vesta Carah,,1925
,Antonio Dattilo-Rubbo,Miss Marie Bentivoglio,,1925
/prizes/archibald/1925/15543/,Antonio Dattilo-Rubbo,Brigadier General TH Fiaschi,,1925
,Roi de Mestre,Miss EM Dangar,,1925
,Aileen R Dent,"Albert Edward Swanson, Esq",,1925
,Mary Edwell-Burke,A woman painter,,1925
,Ray S Gower,Mrs GF Days,,1925
,Ray S Gower,"JJ Gower, Esq",,1925
,John J Hennessy,Self-portrait,,1925
,Carlyle Jackson,Portrait of a lady,,1925
,Marion Jones,"AJ Litchfield, Esq",,1925
,Marion Jones,Mrs Frank Hewson,,1925
,Marion Jones,Self-portrait,,1925
,Marion Jones,Miss G Alice Jones,,1925
,Marion Jones,Self-portrait,,1925
,Marion Jones,Sir Keith Smith,,1925
,A Elizabeth Kelly,"Cecil F Kelly, Esq",,1925
,A Elizabeth Kelly,Miss Roma Carey,,1925
/prizes/archibald/1925/16962/,George W Lambert,"GJ Cohen, Esq",,1925
,George W Lambert,"AA Rankin, Esq",,1925
/prizes/archibald/1925/17113/,John Longstaff,Maurice Moscovitch,(Winner: Archibald Prize 1925),1925
,Percival James Norton,Professor Charteris LLB,,1925
,Alfred William Pratt,Miss Eleanor Pratt,,1925
,Trenia Smith,"Evan Smith, Esq",,1925
,Ethel Anna Stephens,Countess Montemerli,,1925
,R A Strath,"SRP Stevens, Esq",,1925
,R A Strath,Self-portrait,,1925
,R A Strath,Elma,,1925
,Jo Sweatman,Mrs Carl Hampel,,1925
,J R Thompson,Portrait,,1925
,Lyall Trindall,Portrait of a lady,,1925
,J S Watkins,Mrs JS Watkins,,1925
,J S Watkins,Miss Kathleen Witham,,1925
,J S Watkins,"The Hon AC Willis, MLC",,1925
,Charles Wheeler,Portrait,,1925
,Ada Clara Whiting,Miss Rene Harcourt,,1925
,Ada Clara Whiting,Miss Marjorie Clarke,,1925
/prizes/archibald/1925/19683/,Ada Clara Whiting,Miss Jessica Harcourt,,1925
,Joseph Wolinski,"F Antill Pockley, MD",,1925
,Joseph Wolinski,"A Watson Munro, MD (a sketch)",,1925
,Joseph Wolinski,Self-portrait,,1925
,Joseph Wolinski,"A Watson Munro, MD.",,1925
,A Marriott Woodhouse,Brigadier General W Ramsay McNicoll,,1925
,A Marriott Woodhouse,Mrs JR Purdy,,1925
,A Marriott Woodhouse,Lady with amber beads,,1925
,A Marriott Woodhouse,Portrait of a lady,,1925
,J Adam,Portrait,,1926
,J Adam,Portrait,,1926
/prizes/archibald/1926/14662/,A M E Bale,"Philip Broinowski, Esq",,1926
,A M E Bale,"Miss A Brotherton Cherry, BA",,1926
,Lawson Balfour,"William Slade, Esq",,1926
,George Bell,Mrs George Bell,,1926
,Walter Armiger Bowring,"GM Merivale, Esq",,1926
/prizes/archibald/1926/14859/,Walter Armiger Bowring,Dr JRM Robertson,,1926
,Ernest Buckmaster,Mrs Cargidy,,1926
,Ernest Buckmaster,Self-portrait,,1926
/prizes/archibald/1926/15157/,Norman Carter,"AJ Kilgour, Esq, MA, LLB",,1926
,William Gilbert Collins,Mrs Dando,,1926
,A D Colquhoun,"Fritz Hart, Esq",,1926
,Aileen R Dent,"WW Killen, Esq, MHR",,1926
,Aileen R Dent,Sir George Knibbs,,1926
,Mary Edwell-Burke,Miss May Moore,,1926
,John Farmer,Mrs Warne,,1926
/prizes/archibald/1926/15999/,Albert Henry Fullwood,"Robert Bonar, Esq",,1926
,Ray S Gower,Self-portrait,,1926
,Grace Hoy,Miss Brenda Oliver,,1926
,Grace Hoy,Commandant Atkins,,1926
,Reginald Jerrold-Nathan,"Bob Waden, Esq",,1926
,Reginald Jerrold-Nathan,Mrs Gratton,,1926
,Marion Jones,Lt Col TF Rutledge,,1926
,John Longstaff,"A Consett Stephen, Esq",,1926
,John Longstaff,Dr WH Crago,,1926
,John Longstaff,Sir John Grice,,1926
,John Longstaff,"Lauchlan Mackinnon, Esq",,1926
,W B McInnes,Portrait,,1926
/prizes/archibald/1926/17383/,W B McInnes,Silk and lace (Miss Esther Paterson),(Winner: Archibald Prize 1926),1926
,W B McInnes,Portrait,,1926
,W B McInnes,"The Hon Philip Street, Chief Justice",,1926
,Josephine Muntz-Adams,Study of a young girl,,1926
,Christopher Murray,Miss J Delemere,,1926
,John Nickal,Janet,,1926
,Percival James Norton,Mrs G Finey,,1926
,Percival James Norton,"EH Oxnard Smith, Esq",,1926
,C W Peck,Self-portrait,,1926
,Adelaide Perry,Monsieur Antoine Konstant,,1926
,Adelaide Perry,Mrs Baxter,,1926
,RW Phillips,Winifred Brindley,,1926
,William Rowell,Miss AME Bale (artist),,1926
,Unknown artist,(Title unknown),,1926
,J S Watkins,George Finey (artist),,1926
,J S Watkins,Mrs JS Watkins,,1926
,J S Watkins,Erik Langker (artist),,1926
,Charles Wheeler,Portrait,,1926
/prizes/archibald/1926/19249/,Charles Wheeler,Mrs George Benson,,1926
,Percy I White,Lt General Sir John Monash,,1926
,Percy I White,Miss Marie Burke,,1926
,Joseph Wolinski,Tien Hogue (Mrs Guy Wyatt),,1926
,Joseph Wolinski,"TE Rofe, Esq",,1926
,Joseph Wolinski,Rev AD Wolinski,,1926
,Joseph Wolinski,AH Fullwood (artist),,1926
,Joseph Wolinski,"WA Holman, Esq, KC",,1926
,A Marriott Woodhouse,Portrait of a lady in red,,1926
,A Marriott Woodhouse,Miss Beryl Turner,,1926
,A Marriott Woodhouse,Portrait of a lady,,1926
/prizes/archibald/1927/14663/,A M E Bale,Mr William Rowell,,1927
,Lawson Balfour,Mr Philip H Morton,,1927
,Minnie Bernhard Smith,Nurse SA Smith,,1927
,Minnie Bernhard Smith,Nurse SA Smith,,1927
,Bessie Boultbee,Portrait,,1927
,Walter Armiger Bowring,Mr CJD Goldie,,1927
/prizes/archibald/1927/14862/,Walter Armiger Bowring,Mr W Arundel Orchard,,1927
,Ernest Buckmaster,My mother,,1927
,Ernest Buckmaster,Portrait in green and gold,,1927
,Ernest Buckmaster,Self-portrait,,1927
,Norman Carter,Mr Henry Perdriau,,1927
,Norman Carter,Mr MR Macrae,,1927
,William Gilbert Collins,The finishing touch,,1927
,A D Colquhoun,"Mr W Macmahon Ball, MA",,1927
,Aileen R Dent,Mrs Ryland,,1927
,Aileen R Dent,"Mr OR Snowball, MLA",,1927
,Aileen R Dent,Professor HF Schraeder,,1927
/prizes/archibald/1927/15777/,Mary Edwell-Burke,Mrs Dorothy Murray,,1927
,John Farmer,Mr Benno Scherek,,1927
,Ray S Gower,Mr JJ Gower,,1927
,Ray S Gower,Mrs Newman,,1927
,Ray S Gower,Miss Scott-Findlay,,1927
,David Grieve,"Mr W Maloney, MP",,1927
,John J Hennessy,Dr Augustus L Kenny,,1927
,Reginald Jerrold-Nathan,Miss Goodlands,,1927
,Reginald Jerrold-Nathan,Mrs Sidney Moore,,1927
,Reginald Jerrold-Nathan,Self-portrait,,1927
/prizes/archibald/1927/16964/,George W Lambert,Mrs Murdoch,(Winner: Archibald Prize 1927),1927
,Julia B Lynch,Mrs EW Kane,,1927
,Julia B Lynch,Sir Charles Statham,,1927
,W B McInnes,Sentiment,,1927
,W B McInnes,The days of real sport,,1927
,W B McInnes,Mrs Harold Tuxton,,1927
,W B McInnes,Self-portrait,,1927
,W B McInnes,Miss Irene Vanbrugh,,1927
,Percival James Norton,"Rev AH Garnsey, MA",,1927
,Percival James Norton,"Mr Sydney Long, ARE",,1927
,William Rowell,Portrait of a lady,,1927
,Trenia Smith,Portrait,,1927
,Jo Sweatman,Portrait study,,1927
,Lyall Trindall,Miss Florence McDonald,,1927
,Lyall Trindall,Portrait,,1927
,Lyall Trindall,Miss Dorothy Atkinson,,1927
/prizes/archibald/1927/19192/,J S Watkins,Mr George Collingridge,,1927
,Charles Wheeler,Mrs Anketell Henderson,,1927
,Charles Wheeler,Miss Marie Burke,,1927
,Percy I White,"Mr FT Hickford, MA, LLB",,1927
,Percy I White,Mr Gustave Stahel,,1927
,Percy I White,"Rev John Danglow, MA",,1927
,Percy I White,Sir John MacFarland,,1927
,Percy I White,Sir John Monash,,1927
/prizes/archibald/1927/19377/,Joseph Wolinski,"Mr Aubrey Halloran, BA, LLB",,1927
,Joseph Wolinski,"Mr SH Smith, MA",,1927
,Joseph Wolinski,Self-portrait,,1927
,Joseph Wolinski,Mr Louis Stone,,1927
,Joseph Wolinski,Mr E de Lough,,1927
,James Muir Auld,Portrait of the artist,,1928
,James Muir Auld,Mrs Townshend,,1928
,A M E Bale,Miss Mollie Agnew,,1928
,Caroline Barker,Mr Inigo Jones,,1928
,Joseph Arthur Bennett,Miss Hillier,,1928
,Bessie Boultbee,Two sisters,,1928
,Bessie Boultbee,Tony Fagan,,1928
,James A Bowman,Major General Victor Sellheim,,1928
/prizes/archibald/1928/14865/,Walter Armiger Bowring,Sir Henry Braddon,,1928
,Walter Armiger Bowring,Self-portrait,,1928
,Walter Armiger Bowring,"The Rev EM Baker, MA",,1928
,Ernest Buckmaster,Mother,,1928
,Ernest Buckmaster,Mr John Shirlow,,1928
,Norman Carter,"The Honourable Sir William Cullen, KCMG",,1928
,Norman Carter,Mrs Beavan,,1928
,Norman Carter,Miss Soord,,1928
,Colin Colahan,Self-portrait,,1928
,Aileen R Dent,Mrs Butterworth,,1928
,Aileen R Dent,Miss Gilman-Jones,,1928
,John Dobbie,Portrait,,1928
,Mary Edwell-Burke,Self-portrait,,1928
,Joseph Luke Fleury,Self-portrait,,1928
,Ray S Gower,Self-portrait,,1928
,Ray S Gower,Mr AG Scott Findlay,,1928
,Ray S Gower,Mr JJ Gower,,1928
,Ray S Gower,Miss Scott Findlay,,1928
,Gwendolyn Grant,Mrs M Forrest,,1928
,Gwendolyn Grant,"Professor F Cumbrae-Stewart, KC, DCL",,1928
,David Grieve,Mr Conrad Sayce,,1928
,Brenda Holland,Grand-mere,,1928
,Grace Jardine,"Lieut Col NC Talbot, MC, CDG",,1928
