0,1,2,3,Year
,Clif Peir,Miss Phyllis Wardrop,,1936
,Rose M Phipps,"Brig-Gen IG Mackay, CMG",,1936
,Louise M Pickering,Miss Nora O'Halloran,,1936
,Muriel Pornett,The artist's mother,,1936
,James Quinn,Portrait of a lady,,1936
,James Quinn,Portrait,,1936
,James Quinn,Portrait of a boy,,1936
,James Quinn,Portrait,,1936
/prizes/archibald/1936/18199/,Gwen Ramsay,Mrs GL Kenway,,1936
,Stuart Reid,Lady Poynter,,1936
,Mollie Rohr,Self-portrait,,1936
,Mollie Rohr,Self-portrait,,1936
,Mollie Rohr,Self-portrait,,1936
,John Thomas Nightingale Rowell,Self-portrait,,1936
,William Rowell,Lady in grey,,1936
/prizes/archibald/1936/18352/,William Rowell,Dr WG Price,,1936
,William Rowell,The airman,,1936
,Samuel Rudgley,Self-portrait,,1936
,Eric Saunders,La Meri,,1936
,Eric Saunders,Captain PG Taylor,,1936
,Eric Saunders,Coral Pern,,1936
,Katherine Sheridan,Miss Malouf,,1936
,Phyllis Shewcroft,The artist - costume piece,,1936
,Leonard Shillam,Portrait,,1936
,Albert Victor Simmons,Portrait,,1936
,Frank Smith,The artist's son,,1936
,Joshua Smith,"Julian Ashton, Esq, CBE",,1936
,W Sprenger,Self-portrait,,1936
,S Scott Sudlow,Self-portrait,,1936
,Caryll Tate,"Ernest Wells, Esq",,1936
,Stephanie Taylor,Dr W Maloney,,1936
,Stephanie Taylor,Portrait,,1936
,R M Thompson,The Hon Sir Joynton Smith,,1936
,Rollo Thomson,Dr WJ Penfold,,1936
,Rollo Thomson,"H Cook, Esq",,1936
,Joan M Tillam,Holly Faran,,1936
,Dora Toovey,Miss Ruth Pearce-Jones,,1936
,Lyall Trindall,Mrs JC Elder MacDonald,,1936
,Albert Tucker,Self-portrait,,1936
,Alice Turnbull,The artist's sister,,1936
,Alice Turnbull,"RG McCredie, Esq",,1936
,Charles Wheeler,Portrait,,1936
,Charles Wheeler,Portrait,,1936
,Joseph Wolinski,"Edmund S Paul, Esq",,1936
,Joseph Wolinski,Self-portrait,,1936
,Joseph Wolinski,Dr George Brookes,,1936
,Joseph Wolinski,"Stanley Fels, Esq",,1936
/prizes/archibald/1937/14460/,Harold Abbott,Miss Jeanie Ranken,,1937
,Harold Abbott,Self-portrait,,1937
,Christina Asquith Baker,Self-portrait,,1937
,James Muir Auld,Mrs Freeman,,1937
,James Muir Auld,Portrait of lady,,1937
,James Muir Auld,M Bailey,,1937
,Percival Reginald Bagnall,Frank Bagnall,,1937
,Alan Baker,Tom Cavill,,1937
,Alan Baker,Marjorie M Kingsell,,1937
,Alan Baker,Tom McClelland,,1937
/prizes/archibald/1937/19548/,Normand Baker,Self-portrait,(Winner: Archibald Prize 1937),1937
,Lawson Balfour,Sir Cliffton Love,,1937
,Caroline Barker,T Gilmore,,1937
,Mrs Alexander Barrett,Lady Argyle,,1937
,Reginald Thomas Bassett,Self-portrait,,1937
,Tom Bell,Portrait of a lady,,1937
,James A Bowman,"E Robinson, JC, MBE",,1937
,E Bryce,Portrait study,,1937
,Ernest Buckmaster,Horace Stevens,,1937
/prizes/archibald/1937/14976/,Ernest Buckmaster,Rupert Bunny,,1937
,Ernest Buckmaster,Mrs Hughes,,1937
,Edward J Carroll,FW Reekes,,1937
,Norman Carter,Helen Carter,,1937
,Norman Carter,SH Smith,,1937
,Norman Carter,David Sing,,1937
,Thomas Challen,Sir E Cunningham,,1937
,A D Colquhoun,T Allan Mackay,,1937
,A D Colquhoun,Miss Rosemary Mathew,,1937
,A D Colquhoun,Janet Bardin,,1937
,Amalie Sara Colquhoun,Mrs B Degenhart,,1937
,J R Cromer,JS MacDonald,,1937
,Antonio Dattilo-Rubbo,Mark JC Owen,,1937
,Antonio Dattilo-Rubbo,Self-portrait,,1937
,F S Davis,Portrait of a lady,,1937
,Ernest de Brunier,Elizabeth,,1937
,Aileen R Dent,HP Zwar,,1937
,Aileen R Dent,Dr AE Rowden White,,1937
,Douglas Dundas,Roland Wakelin,,1937
,Mary Edwell-Burke,Portrait with fan,,1937
,Mary Edwell-Burke,Madame Pao,,1937
,Mary Edwell-Burke,Javanese,,1937
,Vito Giuffrida,Self-portrait,,1937
,James William Govett,"Major-General RM Downes, VDCMG",,1937
,Ray S Gower,JJ Gower,,1937
,Ray S Gower,Mrs AG Scott-Findlay,,1937
,Harley Griffiths (junior),Harley Griffiths Snr,,1937
,D S Gunn,JAL Gunn,,1937
,Margaret Hales-Gray,Miss Colleen O'Donnell,,1937
,Henry Aloysius Hanke,Mrs Ewart Chapple,,1937
,Henry Aloysius Hanke,Mrs Crockett,,1937
,Henry Aloysius Hanke,Sir Hugh Poynter,,1937
,Sylvia Wilkins Hawkins,John B Gorrie,,1937
,Edith L Holmes,Edith Holmes,,1937
,Tom Hubble,JHM Abbott,,1937
,Tom Hubble,Lyndon Dadswell,,1937
,Rupert Hutter,Self-portrait,,1937
,Reginald Jerrold-Nathan,Mr Lockley,,1937
,Reginald Jerrold-Nathan,Portrait,,1937
,Reginald Jerrold-Nathan,Portrait,,1937
,Margaret Gordon Johnson,JW Johnson,,1937
,Bertha Katsch,Self-portrait,,1937
,Herbert Kemble,Miss Louise Allan,,1937
,E Kimpton,JAV Stevens,,1937
,Garrett Kingsley,Franceine,,1937
,Valerie Lazarus,Mrs P Lazarus,,1937
,Frederick William Leist,Portrait,,1937
,Frederick William Leist,Portrait,,1937
,John Longstaff,Mrs Claude McKay,,1937
,Francis Lynch,Portrait,,1937
,Jeff McCulley,Self-portrait,,1937
,Alfred Ernest MacDonald,Miss Greathead,,1937
,Violet M McInnes,WB McInnes,,1937
,W B McInnes,Portrait,,1937
,W B McInnes,Portrait,,1937
,W B McInnes,Portrait,,1937
,Langton Madden,Self-portrait,,1937
,Max Meldrum,"Professor WE Agar, FRS",,1937
,Max Meldrum,"Dr John Dale, OBE",,1937
,Max Meldrum,Mrs Max Meldrum,,1937
,Max Meldrum,"Rev TM Robinson, BA",,1937
,A T Mockridge,Portrait of a lady,,1937
,Miriam Moxham,Miss Ruve Parker,,1937
,Miriam Moxham,Mrs Phillip Andreas,,1937
,Eric Nilan,"KT Kelly, BA",,1937
,Eric Nilan,Self-portrait,,1937
,Eric Nilan,The artist's father,,1937
,Percival James Norton,"Professor Bland, MA, LLB",,1937
,Justin O'Brien,Ron Laski,,1937
,Roy Opie,Self-portrait,,1937
,Roy Opie,James Opie,,1937
,C W Peck,Portrait,,1937
,C W Peck,Man,,1937
,C W Peck,Portrait,,1937
,C W Peck,Portrait,,1937
,C W Peck,Portrait of Light Horse officer,,1937
,C W Peck,Portrait,,1937
,Clif Peir,Harold Byrne,,1937
,Clif Peir,Miss Kathleen McShine,,1937
,Adelaide Perry,Richard Beaton,,1937
,Louise M Pickering,Margot Lovell,,1937
,T H Porter,Self-portrait,,1937
,May Prince,Mrs JJ Glover,,1937
,James Quinn,"Dr Samuel Ewing, FRAS",,1937
,James Quinn,Kingsley Henderson,,1937
,James Quinn,James McPhillimy,,1937
,James Quinn,Self-portrait,,1937
,Stuart Reid,"Rev CT Parkinson, MA",,1937
,Mollie Rohr,Thomas W Mard,,1937
,Mollie Rohr,Self-portrait,,1937
,Mollie Rohr,Sketch of head,,1937
,John Thomas Nightingale Rowell,Self-portrait,,1937
,William Rowell,HB Herbert,,1937
,William Rowell,Self-portrait,,1937
,William Rowell,RH Croll,,1937
,Clarice Sandford,A girl in mauve,,1937
,Clarice Sandford,Portrait,,1937
/prizes/archibald/1937/18565/,Phyllis Shillito,Barbara,,1937
,Albert Victor Simmons,Sally,,1937
/prizes/archibald/1937/18630/,Joshua Smith,Mr JA Smith,,1937
,Joshua Smith,Mrs L Smith,,1937
,W Sprenger,Self-portrait,,1937
,Helen Stewart,"Miss Rose Muir, MBE",,1937
,Caryll Tate,Alfred Coffey,,1937
,Stephanie Taylor,Portrait of a lady,,1937
,Frederick Lyttelton Tregear,J Muir Auld,,1937
,Frederick Lyttelton Tregear,Portrait of artist,,1937
/prizes/archibald/1937/19030/,Lyall Trindall,Dame Mary Gilmore,,1937
,Lyall Trindall,Albert Sherman,,1937
,Lyall Trindall,Mrs Bruce White,,1937
,Albert Tucker,Portrait of artist,,1937
,Edgar James Turner,Steve Ford,,1937
,Edgar James Turner,J Shaw Neilson,,1937
,Edgar James Turner,Chas R Long,,1937
,George Alfred Turner,Self-portrait,,1937
,Robert Ware,Mrs Robert Ware,,1937
,Joseph Wolinski,Duncan MacDougall,,1937
,Joseph Wolinski,Dr Iza Harris,,1937
,Joseph Wolinski,Harry Julius,,1937
,Joseph Wolinski,Mrs A Alexander,,1937
,Joseph Wolinski,Miss Ethel Wolinski,,1937
,Joseph Wolinski,Rabbi EM Levi,,1937
,Harold Abbott,Self-portrait,,1938
,A F Andrews,The artist's father,,1938
,A F Andrews,Self-portrait,,1938
,John Aston,"LH Witts, Esq",,1938
,James Muir Auld,Lady in black,,1938
,James Muir Auld,"F Tregear, Esq",,1938
,Alan Baker,Self-portrait,,1938
,Alan Baker,Miss Videy Ross,,1938
,Normand Baker,Self-portrait,,1938
,Normand Baker,"Alan D Baker, Esq",,1938
,A M E Bale,Miss EM Lander,,1938
,Rex Battarbee,Albert Namatjira (Arunta artist),,1938
,Ronald Broadley,Self-portrait,,1938
,Norman Carter,Hans Heysen,,1938
,Norman Carter,"A Enes, Esq",,1938
,Myra Cocks,Portrait of a lady,,1938
,William Gilbert Collins,Self-portrait,,1938
,A D Colquhoun,Miss Janet McEwan,,1938
,A D Colquhoun,(Title unknown),,1938
,A D Colquhoun,Miss Janet Maloney,,1938
,A D Colquhoun,Miss Olga Hausegger,,1938
,Thomas Dean,Self-portrait,,1938
,Aileen R Dent,Miss Joyce Raymond,,1938
,Aileen R Dent,Rev FE Oxer,,1938
,Claude S Diston,Lt Col JN Coryn Shaw,,1938
,Douglas Dundas,"Alfred Cook, Esq",,1938
,Mary Edwell-Burke,Self-portrait,,1938
,Mary Edwell-Burke,"BJ Waterhouse, Esq, FRIBA",,1938
,Owen Garde,Self-portrait,,1938
,John Barclay Godson,Artist and wife,,1938
,Helena Nellie Govett,Portrait,,1938
,J H Graham,Joshua Smith,,1938
/prizes/archibald/1938/16193/,Vaughan Murray Griffin,Mrs Murray Griffin,,1938
,A F Hancox,Self-portrait,,1938
,Henry Aloysius Hanke,Miss Sylvia Davis,,1938
,Henry Aloysius Hanke,"Percy Lindsay, Esq",,1938
,John R Heath,"Dr WA Morrison, LDS, RCS",,1938
,Edward Heffernan,Diane in red,,1938
,John J Hennessy,Self-portrait,,1938
,Nora Heysen,The Hon John Lane Mullins,,1938
/prizes/archibald/1938/16506/,Nora Heysen,Mme Elink Schuurman,(Winner: Archibald Prize 1938),1938
,Leon Hogan,Miss M Parsons,,1938
,Ethel Holmes,Portrait of a lady,,1938
,Tom Hubble,Mrs Francis V Molyneaux,,1938
,Tom Hubble,"Frederick E Baume, Esq",,1938
,J C Hutchings,Self-portrait,,1938
,Rupert Hutter,Self-portrait,,1938
,Reginald Jerrold-Nathan,Miss Camilla Wedgewood,,1938
,Reginald Jerrold-Nathan,Self-portrait,,1938
,Reginald Jerrold-Nathan,Dr Cecil Purser,,1938
/prizes/archibald/1938/16733/,Margaret Gordon Johnson,Mrs Grabham,,1938
,Bertha Katsch,Gipsies,,1938
,Herbert Kemble,"Raymond Sinnot, Esq",,1938
,Herbert Kemble,Dante Arrie,,1938
,Herbert Kemble,Louise Allen,,1938
,Herbert Kemble,Geoffrey Cumine,,1938
,Clement Charles Kennedy,Meg,,1938
,Clement Charles Kennedy,Thea Rowe,,1938
,Clement Charles Kennedy,Clement Kennedy,,1938
,Garrett Kingsley,Norma,,1938
,Garrett Kingsley,Murilla,,1938
,Frederick William Leist,Stephanie Day,,1938
,Frederick William Leist,"C Pearl, Esq",,1938
,Frederick William Leist,"Mrs Charles, MA",,1938
,Herbert W McCulley,Self-portrait,,1938
,Alfred Ernest MacDonald,"WC Milne, Esq",,1938
/prizes/archibald/1938/17431/,Violet M McInnes,Miss Joan Nita,,1938
/prizes/archibald/1938/17429/,W B McInnes,Sir Robert Wade,,1938
,W B McInnes,Miss Susan Williams,,1938
/prizes/archibald/1938/17430/,W B McInnes,Gen Sir Harry Chauvel,,1938
,Alex McMurtrie,Dignity and impudence,,1938
,Langton Madden,Self-portrait,,1938
,Tempe Manning,"Peter Lawrence, Esq",,1938
,Max Meldrum,Self-portrait,,1938
,Max Meldrum,"Prof W Agar, FRS",,1938
,Miriam Moxham,Miss Myra Cocks and Elaine,,1938
,Miriam Moxham,"Henry B Rain, Esq",,1938
,G Needham,"Lionel Shave, Esq",,1938
/prizes/archibald/1938/17778/,A E Newbury,"WJ Penfold, MB, CM (Edin), BHy (Dunclm)",,1938
,Eric Nilan,"DGM Jackson, Esq, MA",,1938
,Eric Nilan,"D Nelson, Esq",,1938
,Justin O'Brien,Miss Dorothy Johnston,,1938
,Roy Opie,"L Reynolds, Esq",,1938
,Roy Opie,Mr James Opie,,1938
,T R Palmer,Self-portrait,,1938
/prizes/archibald/1938/17918/,Esther Paterson,Miss Betty Paterson,,1938
,C W Peck,One of the Smith family,,1938
,C W Peck,Mrs Drinkwater,,1938
,Clif Peir,Miss Ann,,1938
,Clif Peir,Miss Kathleen Maxwell,,1938
,James Quinn,Rt Hon RG Casey,,1938
,Joan E Reid,Portrait of a boy,,1938
,Stuart Reid,"ARJ Watt, Esq, KC",,1938
,C Darcy Rendalls,Portrait of a man,,1938
,Eileen M Robertson,My sister,,1938
,Mollie Rohr,Miniature,,1938
,Mollie Rohr,The final likeness,,1938
,Mollie Rohr,The maid,,1938
,Mollie Rohr,Portrait of a man,,1938
,Mollie Rohr,Self-portrait,,1938
,J H R Rousel,"Thos Porter, Esq",,1938
,J H R Rousel,"Rt Hon Sir Earle Page, KCMG",,1938
,John Thomas Nightingale Rowell,"Murray Griffin, Esq",,1938
,William Rowell,"Bernard O'Dowd, Esq",,1938
,William Rowell,Rt Hon RG Menzies,,1938
,William Rowell,Arltingah,,1938
,Eric Saunders,Duncan Macdougall,,1938
,Eric Saunders,Lewis Gooresky,,1938
,Eric Saunders,Daphne Winslow,,1938
,Reginald Jack Shepherd,Ald Mrs Fowler,,1938
,Reginald Jack Shepherd,Judith Ann,,1938
,Albert Victor Simmons,Mrs Thomas,,1938
,David Sing,Mr W Magee,,1938
,David Sing,Mrs E Thomasson,,1938
,David Sing,Miss Sanchia Thomasson,,1938
,Joshua Smith,Mrs Louisa Smith,,1938
,Joshua Smith,"John Graham, Esq",,1938
,Joshua Smith,Miss Dymphna Cusack,,1938
,W Sprenger,Self-portrait,,1938
,E Steitz,The hunter,,1938
,M Summers,Self-portrait,,1938
,Beulah Symes Leicester,Dr Charles Fenner,,1938
,Stephanie Taylor,Mrs Alice Thomas,,1938
,Lesbia Thorpe,Mrs Havelock Southwick,,1938
,Lesbia Thorpe,Miss Rose Broit,,1938
,Frederick Lyttelton Tregear,Miss Badgery,,1938
,Lyall Trindall,Dr BT Edye,,1938
,Lyall Trindall,"Rubery Bennett, Esq",,1938
,Lyall Trindall,"The Rt Hon The Lord Mayor, Ald N Nock",,1938
,Melba van der Velden,Self-portrait,,1938
,Charles Wheeler,"Ernest Joske, Esq, LLB",,1938
,Charles Wheeler,Mrs FW Dennett,,1938
,Harold V Whitlock,The blue cape,,1938
,Harold V Whitlock,Edith,,1938
,Dora Wilson,"Alan Marshall, Esq",,1938
,Dora Wilson,Miss Sybil Craig,,1938
,Joseph Wolinski,Margaret Swann,,1938
,Joseph Wolinski,"T Stuart Gurr, Esq",,1938
,Joseph Wolinski,"KR Cramp, Esq, OBE, MA",,1938
,Joseph Wolinski,Roderic Quinn,,1938
,Joseph Wolinski,"Rosine Guiterman, MA",,1938
,Joseph Wolinski,"CH Harrison, Esq, BA",,1938
,Arnold Zimmerman,Bitter wine - self-portrait,,1938
,Arnold Zimmerman,"SG Thorpe, Esq",,1938
,Arnold Zimmerman,Here's luck,,1938
,Harold Abbott,"Neil McNeil, Esq",,1939
,Harold Abbott,Miss Margaret Murray,,1939
,Harold Abbott,"Robert Gillespie, Esq",,1939
,Harold Abbott,Mrs C de Burgh,,1939
,Harold Abbott,Mrs R Abbott,,1939
,James Muir Auld,Self-portrait,,1939
,Herbert Badham,Self-portrait,,1939
,Alan Baker,Portrait of a man,,1939
,Reginald Thomas Bassett,Self-portrait,,1939
/prizes/archibald/1939/14727/,Douglas Baulch,Self-portrait,,1939
,Daysi M Brookes,"Robert McKechnie, Esq",,1939
,Daysi M Brookes,Dr E McAustin Steel,,1939
,Ernest Buckmaster,Self-portrait,,1939
,Jack Carington Smith,Sir John Ramsay,,1939
,Frank R Carter,Mrs Beryl James,,1939
,Norman Carter,"RB Kelley, Esq, DVSc",,1939
,Norman Carter,"Paymaster Lieut Keith H Waterhouse, RAN, VR",,1939
,Amalie Sara Colquhoun,Ellen,,1939
,Roy Dalgarno,"Prof JV Duhig, MB, FRACP",,1939
,William Dargie,The artist's wife,,1939
,William Dargie,Self-portrait and mask,,1939
,Ayesha Dean,Portrait of a man,,1939
,Joseph Ben de Bolle,"Major Gen WA Coxen, CB, CMG/DSO",,1939
,Aileen R Dent,"CN McKenzie, Esq (President Melbourne Scots)",,1939
,E C Draper,Portrait of a lady,,1939
,Elsie Elder,"Mr Casey, MP",,1939
,Nell Eveston,Mrs Loschiavo,,1939
,Nell Eveston,Olive,,1939
,Nell Eveston,Gloria Favolora,,1939
,Marjorie Glyn-Edwards,"Hugh Reilly, Esq",,1939
,John Barclay Godson,Self-portrait,,1939
,John Barclay Godson,Hilda,,1939
,John Barclay Godson,Johnnie,,1939
,Helena Nellie Govett,Sir Harold Gengoult Smith,,1939
,Gwendolyn Grant,"John Ramsay, Esq",,1939
,Gwendolyn Grant,Ann,,1939
,William Gregory Grant,Mrs Gwendolyn Grant,,1939
,Harley Griffiths (junior),"O Dutton, Esq",,1939
,Harley Griffiths (junior),Portrait of a pugilist,,1939
,A F Hancox,Self-portrait,,1939
,Henry Aloysius Hanke,Self-portrait,,1939
,Henry Aloysius Hanke,The pink wrap,,1939
,John R Heath,Emeritus Prof W Gilmour,,1939
,Joseph Holloway,"Roy Thibou, Esq",,1939
,Edith L Holmes,My aunt,,1939
,Ursula Holterhoff,Self-portrait,,1939
,Tom Hubble,Julian,,1939
,Evan Hughes,"Bruce Salter, Esq",,1939
,Harold Stafford Huntley,Miss Eula Ross,,1939
,Rupert Hutter,Self-portrait,,1939
/prizes/archibald/1939/17738/,Reginald Jerrold-Nathan,Mrs C Corsellis,,1939
,Margaret Gordon Johnson,"G Pitt Morison, Esq, curator, Perth Art Gallery",,1939
,Margaret Gordon Johnson,Miss Berna Begley,,1939
,Margaret Gordon Johnson,Lieut Col GFG Wieck,,1939
,Eric Kaylock,Self-portrait,,1939
,Herbert Kemble,Louise A,,1939
,Clement Charles Kennedy,Miss Gwen Friend,,1939
,Clement Charles Kennedy,Miss Barbara Dare,,1939
,Clement Charles Kennedy,"DAW Robertson, Esq",,1939
,Theo M Kielly,Self-portrait,,1939
,J Noel Kilgour,Mrs Nancy Kilgour,,1939
,Edwin Harold King,The artist's brother,,1939
,Edwin Harold King,Portrait of a man,,1939
,Edwin Harold King,The artist's sister,,1939
,Garrett Kingsley,Portrait of a lady,,1939
,Garrett Kingsley,"John G Lindsay, Esq",,1939
,Frederick William Leist,Miss Sheila Mitchell,,1939
,Albert Leyshon,Self-portrait,,1939
,Herbert W McCulley,Self-portrait,,1939
,R J McFadden,Self-portrait,,1939
,R J McFadden,Portrait of a man,,1939
,G M McHolme,Self-portrait,,1939
,Tempe Manning,Major CET Newman (Indian Army),,1939
,Tempe Manning,"Colin E Anderson, Esq",,1939
,Tempe Manning,"Father Cohen, CA (Father Superior, House of the Ascension, Goulburn, NSW)",,1939
/prizes/archibald/1939/17221/,Tempe Manning,Self-portrait,,1939
/prizes/archibald/1939/17497/,Max Meldrum,"Hon GJ Bell, CMG, DSO, VD (Speaker, House of Representatives)",(Winner: Archibald Prize 1939),1939
,R A Morrisey,Miss Maureen Morrisey,,1939
,Lionel Neate,"Mr WR Hurst, ARCO",,1939
,Percival James Norton,"PW Gledhill, Esq",,1939
,Percival James Norton,Mrs G Davis,,1939
,Justin O'Brien,"Eric Irvin, poet",,1939
/prizes/archibald/1939/17827/,Justin O'Brien,Self-portrait,,1939
/prizes/archibald/1939/17829/,Justin O'Brien,Mrs Hodson,,1939
,Roy Opie,"Harold Herbert, Esq",,1939
,T R Palmer,Rev CR King,,1939
,T R Palmer,The artist's bride,,1939
,Esther Paterson,Miss Betty Paterson,,1939
,Esther Paterson,"Hermon Gill, Esq",,1939
,Clif Peir,Miss Genevieve Madden,,1939
,RW Phillips,Self-portrait,,1939
,RW Phillips,Portrait of a lady,,1939
,Muriel Pornett,Window light,,1939
,Harold Septimus Power,"Dr AE Richardson, CMG, MAD (Oxon)",,1939
,M Prowse Carey,Self-portrait,,1939
/prizes/archibald/1939/18174/,James Quinn,"George Bell, artist and critic",,1939
/prizes/archibald/1939/18175/,James Quinn,Self-portrait,,1939
,Stuart Reid,Mrs A Thyne Reid,,1939
,Eileen M Robertson,Self-portrait,,1939
/prizes/archibald/1939/18323/,J H R Rousel,"George H Forsyth, Esq",,1939
,J H R Rousel,Judge Coyle,,1939
,John Thomas Nightingale Rowell,"John Bowles, sculptor",,1939
,John Thomas Nightingale Rowell,"Prof A Boyce Gibson, MA (Oxon)",,1939
,William Rowell,"Major-Gen Sir William Glasgow, KCB, CMG, DSO, VD",,1939
,William Rowell,Francis de Castella,,1939
,William Rowell,Dr AE Mills,,1939
,William Rowell,Jackeroo,,1939
,Horace Rudgley,Mrs H Rudgley,,1939
,Samuel Rudgley,Self-portrait,,1939
,A W Sampson,Margaret Verrell,,1939
,Eric Saunders,Kylie Tennant,,1939
,Eric Saunders,Mischa Burlakov,,1939
/prizes/archibald/1939/18518/,Roderick Shaw,"Richard Edwards, BA",,1939
,Reginald Jack Shepherd,Laurel,,1939
,Joshua Smith,Sister M Deane,,1939
,W Sprenger,Self-portrait,,1939
,S Scott Sudlow,Self-portrait,,1939
,Graham A Thorley,"Senator Major-Gen CH Brand, CBCMG, CVO, DSO",,1939
,Dora Toovey,Miss Ruth Eason,,1939
,Frederick Lyttelton Tregear,Self-portrait,,1939
,Lyall Trindall,Mrs R Rajola,,1939
,Albert Tucker,Harry de Hartog,,1939
,Roland Wakelin,Mother and child,,1939
,Leslie J Walker,"F Pidcock, Esq",,1939
,Leslie J Walker,"AC Martin, Esq",,1939
,Douglas Watson,Self-portrait,,1939
,Harold V Whitlock,Self-portrait,,1939
,Rita Wilson,Self-portrait,,1939
,Margery Withers,"R McCann, Esq",,1939
,Joseph Wolinski,Ald ES Marks,,1939
,Joseph Wolinski,Desiderius Orban,,1939
,Joseph Wolinski,"Thomas Ranken, Esq",,1939
,Joseph Wolinski,"H Neville Smith, Esq",,1939
,Joseph Wolinski,Self-portrait,,1939
,Arnold Zimmerman,Self-portrait,,1939
,Harold Abbott,Dr W Arundel Orchard,,1940
,James Muir Auld,Self-portrait,,1940
,Alan Baker,Mr Hamilton,,1940
,Normand Baker,Self-portrait,,1940
,Normand Baker,Stella,,1940
,Rex Battarbee,Chief Kamutu,,1940
,Margaret Beatty,Miss Lorraine Barnes,,1940
,AT Bernaldo,"Edwin Rechner, Esq",,1940
,AT Bernaldo,Colonel WW Whittle,,1940
,Ernest Buckmaster,Self-portrait,,1940
,Walter Edmund Burney,Beatrice,,1940
,Charles Bush,Self-portrait,,1940
,James Cant,Waterside worker,,1940
/prizes/archibald/1940/18638/,Jack Carington Smith,Miss Barbara Swift,,1940
,Frank R Carter,"William Prendergast, MA, LLB",,1940
,Frank R Carter,Dr William Maloney,,1940
,Frank R Carter,Christopher Coe,,1940
,Norman Carter,Dr William Wood,,1940
/prizes/archibald/1940/15187/,Norman Carter,"Captain PG Taylor, EGM, MC",,1940
,Margaret Cilento,"Sir Raphael Cilento, KBE",,1940
,Margaret Coen,Mr Douglas Stewart,,1940
/prizes/archibald/1940/15345/,A D Colquhoun,Douglas I Menzies,,1940
,A D Colquhoun,Mrs S Robinson,,1940
,Amalie Sara Colquhoun,Russell Hooper,,1940
/prizes/archibald/1940/15347/,Amalie Sara Colquhoun,Graeme Penington,,1940
,Bruce M Cousin,Nan,,1940
,William Dargie,Master Paul Warner,,1940
,William Dargie,Daryl Lindsay,,1940
,Sue Dennett,'Borzoi' - Igor Schwezoff,,1940
,Aileen R Dent,Madam Gregor Wood,,1940
,Aileen R Dent,Rev J Noble-MacKenzie,,1940
,Aileen R Dent,Professor John Gillies,,1940
,William Dobell,Miss Dorothy Helmrich,,1940
,Douglas Dundas,Miss Dorothy Thornhill,,1940
,Mary Edwell-Burke,Mrs John R Carey,,1940
,Mary Edwell-Burke,Self-portrait,,1940
,Elsie Elder,Captain John Collins,,1940
,Nell Eveston,Miss Mary Punch,,1940
,Nell Eveston,Miss Jean Punch,,1940
,Marjorie Glyn-Edwards,Mr ACH Edwards,,1940
,Marjorie Glyn-Edwards,Self-portrait,,1940
,John Barclay Godson,Mr Alfred Hill,,1940
,John Barclay Godson,Mrs Henry Murdoch,,1940
,John Barclay Godson,Mrs A Watson-Mason,,1940
,John Barclay Godson,Mrs Alex Sverjensky,,1940
,John Barclay Godson,"Madge, daughter of A Watson-Mason Esq",,1940
,John Barclay Godson,"Selma, daughter of Mrs V Walder",,1940
,Helena Nellie Govett,Sir Stanley Argyle,,1940
,Gwendolyn Grant,"Hon Sir James Blair, KCMG",,1940
,Leonard James Green,"Mrs Tom Luxton, Jnr",,1940
,Thomas J Haberley,Self-portrait,,1940
,Henry Aloysius Hanke,Judge Moffitt,,1940
,Henry Aloysius Hanke,"H Neville Smith, Esq",,1940
,Sylvia Harris,Mrs J Doren,,1940
,Sylvia Harris,"Prof JV Duhig, MB, FRACP",,1940
/prizes/archibald/1940/16404/,John R Heath,Self-portrait,,1940
,John R Heath,"Dr RV Hennessy, FRCS (Eng)",,1940
,John J Hennessy,Self-portrait,,1940
,Malcolm C Hone,Portrait,,1940
,Tom Hubble,Miss Hargreave,,1940
,Tom Hubble,Douglas M Barrie,,1940
,Wyclif E Huston,"Dr Max C McAlister, LLB",,1940
,Rupert Hutter,"HS Elvin, Esq",,1940
,Reginald Jerrold-Nathan,Mrs C Bede Maxwell,,1940
,Reginald Jerrold-Nathan,Mrs Bertha Maxwell,,1940
,Reginald Jerrold-Nathan,Sir John Butters,,1940
,Reginald Jerrold-Nathan,"Dr Cecil Pursor BA, MB, ChM, FRACP",,1940
,Margaret Gordon Johnson,Self-portrait,,1940
,Herbert Kemble,Miss Merle Greenwood,,1940
,Herbert Kemble,Frank D Clulow,,1940
,Clement Charles Kennedy,Miss Jeanie Rankin,,1940
,J Noel Kilgour,Self-portrait,,1940
,J Noel Kilgour,Mrs J Kelly,,1940
,J Noel Kilgour,Nancy Kilgour,,1940
,Frederick William Leist,"Dr HN Schlink, MB, ChM, FRACS, FRGS",,1940
,Arthur Lindsay,Portrait,,1940
/prizes/archibald/1940/17101/,Charles Salis Lloyd,"JK Moir, Esq",,1940
,Oliver Long,Wolfgang Cardimatis,,1940
,Eva Georgina Lucas,Portrait,,1940
,Winifred McCubbin,"Susan, daughter of the artist",,1940
,Herbert W McCulley,Self-portrait,,1940
,Tempe Manning,Miss Bee Metcalfe,,1940
,Tempe Manning,Christine Patricia Manning,,1940
/prizes/archibald/1940/17227/,Tempe Manning,Mr WA Byram Mansell,,1940
,Howard Winton Matthews,Alfred Burke,,1940
,Howard Winton Matthews,"Gerald de Vahl Davis, BA, ARG, BSc",,1940
,Maxwell,Geoffrey,,1940
/prizes/archibald/1940/17468/,Frank Medworth,"Muriel, wife of the artist",,1940
