FullName,TopResultName,TopResultLink,TopResultName2,TopResultLink2,Surname,Expert_Checked,SelectedName,SelectedLink,Type,TopResultName_LastStr,TopResultName2_LastStr
Harold Abbott,Hal D. Abbott,https://www.austlit.edu.au/austlit/page/A48352,Dal Stivens,https://www.austlit.edu.au/austlit/page/A22934,Abbott,TRUE,Hal D. Abbott,https://www.austlit.edu.au/austlit/page/A48352,Exact match,Abbott,Stivens
Ian Abdulla,Ian Abdulla,https://www.austlit.edu.au/austlit/page/A48552,Ian Abdulla,https://www.austlit.edu.au/austlit/page/A48552,Abdulla,TRUE,Ian Abdulla,https://www.austlit.edu.au/austlit/page/A48552,Exact match,Abdulla,Abdulla
Thelma Afford,Thelma Afford,https://www.austlit.edu.au/austlit/page/A65108,Thelma Afford,https://www.austlit.edu.au/austlit/page/A65108,Afford,TRUE,Thelma Afford,https://www.austlit.edu.au/austlit/page/A65108,Exact match,Afford,Afford
Vernon Ah Kee,Vernon Ah Kee,https://www.austlit.edu.au/austlit/page/11339149,Vernon Ah Kee,https://www.austlit.edu.au/austlit/page/11339149,Ah Kee,TRUE,Vernon Ah Kee,https://www.austlit.edu.au/austlit/page/11339149,Exact match,Kee,Kee
Ruth Drummond Ainsworth,No Result Found,,No Result Found,,Ainsworth,TRUE,No Result Found,,No match,Found,Found
Tony Albert,Tony Albert,https://www.austlit.edu.au/austlit/page/11501066,Tony Albert,https://www.austlit.edu.au/austlit/page/11501066,Albert,TRUE,Tony Albert,https://www.austlit.edu.au/austlit/page/11501066,Exact match,Albert,Albert
Brook Andrew,agent,https://www.austlit.edu.au/austlit/page/8538325,agent,https://www.austlit.edu.au/austlit/page/8538325,Andrew,TRUE,agent,https://www.austlit.edu.au/austlit/page/8538325,"No match, but related record",agent,agent
John Andrews,John Andrew La Nauze,https://www.austlit.edu.au/austlit/page/A6787,John Andrew La Nauze,https://www.austlit.edu.au/austlit/page/A6787,Andrews,TRUE,John Andrew La Nauze,https://www.austlit.edu.au/austlit/page/A6787,"No match, but related record",Nauze,Nauze
Douglas Annand,Geoffrey Lehmann,https://www.austlit.edu.au/austlit/page/A1555,Douglas Annand,https://www.austlit.edu.au/austlit/page/A104770,Annand,TRUE,Douglas Annand,https://www.austlit.edu.au/austlit/page/A104770,Exact match,Lehmann,Annand
Michael Anning,Michael (Boiyool) Anning,https://www.austlit.edu.au/austlit/page/A67138,Michael (Boiyool) Anning,https://www.austlit.edu.au/austlit/page/A67138,Anning,TRUE,Michael (Boiyool) Anning,https://www.austlit.edu.au/austlit/page/A67138,Exact match,Anning,Anning
Jean Appleton,Reg Johnston,https://www.austlit.edu.au/austlit/page/14790572,No Result Found,,Appleton,TRUE,,,"No match, but related record",Johnston,Found
Howard Arkley,Howard Arkley,https://www.austlit.edu.au/austlit/page/A75900,Howard Arkley,https://www.austlit.edu.au/austlit/page/A75900,Arkley,TRUE,Howard Arkley,https://www.austlit.edu.au/austlit/page/A75900,Exact match,Arkley,Arkley
John Armstrong,John Armstrong,https://www.austlit.edu.au/austlit/page/A126923,John Armstrong,https://www.austlit.edu.au/austlit/page/A126923,Armstrong,TRUE,John Armstrong,https://www.austlit.edu.au/austlit/page/A126923,Exact match,Armstrong,Armstrong
Tom Arthur,R. H. Croll,https://www.austlit.edu.au/austlit/page/A15951,T. A. G. Hungerford,https://www.austlit.edu.au/austlit/page/A28123,Arthur,TRUE,,,"No match, but related record",Croll,Hungerford
David Aspden,Robert Adamson,https://www.austlit.edu.au/austlit/page/A29014,David Aspden,https://www.austlit.edu.au/austlit/page/6808722,Aspden,TRUE,David Aspden,https://www.austlit.edu.au/austlit/page/6808722,Exact match,Adamson,Aspden
Michael Atira-Atira,No Result Found,,No Result Found,,Atira-Atira,TRUE,No Result Found,,No match,Found,Found
Sam Atyeo,Peta Tait,https://www.austlit.edu.au/austlit/page/A2372,No Result Found,,Atyeo,TRUE,,,"No match, but related record",Tait,Found
Yvonne Audette,No Result Found,,No Result Found,,Audette,TRUE,No Result Found,,No match,Found,Found
Belinda Nakamarra Baker,No Result Found,,No Result Found,,Baker,TRUE,No Result Found,,No match,Found,Found
George Joseph Victor Baldessin,No Result Found,,No Result Found,,Baldessin,TRUE,No Result Found,,No match,Found,Found
Sydney Ball,John Dunmore Lang,https://www.austlit.edu.au/austlit/page/A8742,David Williamson,https://www.austlit.edu.au/austlit/page/A21523,Ball,TRUE,,,"No match, but related record",Lang,Williamson
Jonas Balsaitis,No Result Found,,No Result Found,,Balsaitis,TRUE,No Result Found,,No match,Found,Found
Bronwyn Bancroft,Bronwyn Bancroft,https://www.austlit.edu.au/austlit/page/A51352,Bronwyn Bancroft,https://www.austlit.edu.au/austlit/page/A51352,Bancroft,TRUE,Bronwyn Bancroft,https://www.austlit.edu.au/austlit/page/A51352,Exact match,Bancroft,Bancroft
Glenn Barkley,Glenn Barkley,https://www.austlit.edu.au/austlit/page/A130489,Glenn Barkley,https://www.austlit.edu.au/austlit/page/A130489,Barkley,TRUE,Glenn Barkley,https://www.austlit.edu.au/austlit/page/A130489,Exact match,Barkley,Barkley
Del Kathryn Barton,Del Kathryn Barton,https://www.austlit.edu.au/austlit/page/13008249,Del Kathryn Barton,https://www.austlit.edu.au/austlit/page/13008249,Barton,TRUE,Del Kathryn Barton,https://www.austlit.edu.au/austlit/page/13008249,Exact match,Barton,Barton
Tom Bass,Tom Bass,https://www.austlit.edu.au/austlit/page/A62049,Tom Bass,https://www.austlit.edu.au/austlit/page/A62049,Bass,TRUE,Tom Bass,https://www.austlit.edu.au/austlit/page/A62049,Exact match,Bass,Bass
Joan Janet Bayliss,No Result Found,,No Result Found,,Bayliss,TRUE,No Result Found,,No match,Found,Found
Margaret Checkley Beatty,No Result Found,,No Result Found,,Beatty,TRUE,No Result Found,,No match,Found,Found
Richard Beck,Richard Beck,https://www.austlit.edu.au/austlit/page/A74289,Richard Beck,https://www.austlit.edu.au/austlit/page/A74289,Beck,TRUE,Richard Beck,https://www.austlit.edu.au/austlit/page/A74289,Exact match,Beck,Beck
Zanny Begg,No Result Found,,No Result Found,,Begg,TRUE,No Result Found,,No match,Found,Found
George W. Bell,George W. Bell,https://www.austlit.edu.au/austlit/page/A14659,George W. Bell,https://www.austlit.edu.au/austlit/page/A14659,Bell,TRUE,George W. Bell,https://www.austlit.edu.au/austlit/page/A14659,Exact match,Bell,Bell
Richard Bell,Richard Bell,https://www.austlit.edu.au/austlit/page/5994271,Richard Bell,https://www.austlit.edu.au/austlit/page/5994271,Bell,TRUE,Richard Bell,https://www.austlit.edu.au/austlit/page/5994271,Exact match,Bell,Bell
Jean Mary Bellette,Jean Bellette,https://www.austlit.edu.au/austlit/page/A141329,Jean Bellette,https://www.austlit.edu.au/austlit/page/A141329,Bellette,TRUE,Jean Bellette,https://www.austlit.edu.au/austlit/page/A141329,Exact match,Bellette,Bellette
Gordon Bennett,Gordon Bennett,https://www.austlit.edu.au/austlit/page/A33194,Gordon Bennett,https://www.austlit.edu.au/austlit/page/A33194,Bennett,TRUE,Gordon Bennett,https://www.austlit.edu.au/austlit/page/A33194,Exact match,Bennett,Bennett
Lauren Berkowitz,No Result Found,,No Result Found,,Berkowitz,TRUE,No Result Found,,No match,Found,Found
Kate Beynon,No Result Found,,No Result Found,,Beynon,TRUE,No Result Found,,No match,Found,Found
Annette Bezor,Kim Waters,https://www.austlit.edu.au/austlit/page/A67991,No Result Found,,Bezor,TRUE,,,"No match, but related record",Waters,Found
Vivienne Binns,Peter Hicks,https://www.austlit.edu.au/austlit/page/A7544,No Result Found,,Binns,TRUE,,,"No match, but related record",Hicks,Found
Ada Petyarre Bird,No Result Found,,No Result Found,,Bird,TRUE,No Result Found,,No match,Found,Found
Olive Bishop,Horace A. Hall,https://www.austlit.edu.au/austlit/page/A47614,W. N. Willis,https://www.austlit.edu.au/austlit/page/A43136,Bishop,TRUE,,,"No match, but related record",Hall,Willis
Mervyn Bishop,Mervyn Bishop,https://www.austlit.edu.au/austlit/page/A65192,Mervyn Bishop,https://www.austlit.edu.au/austlit/page/A65192,Bishop,TRUE,Mervyn Bishop,https://www.austlit.edu.au/austlit/page/A65192,Exact match,Bishop,Bishop
Wendy Black,Wendy Chungulla,https://www.austlit.edu.au/austlit/page/9449784,Wendy Scarfe,https://www.austlit.edu.au/austlit/page/A1373,Black,TRUE,,,"No match, but related record",Chungulla,Scarfe
Charles Blackman,Charles Blackman,https://www.austlit.edu.au/austlit/page/A21497,Charles Blackman,https://www.austlit.edu.au/austlit/page/A21497,Blackman,TRUE,Charles Blackman,https://www.austlit.edu.au/austlit/page/A21497,Exact match,Blackman,Blackman
Peter Booth,Peter Booth,https://www.austlit.edu.au/austlit/page/A61696,Peter Booth,https://www.austlit.edu.au/austlit/page/A61696,Booth,TRUE,Peter Booth,https://www.austlit.edu.au/austlit/page/A61696,Exact match,Booth,Booth
Susie Napangati Bootja Bootja,No Result Found,,No Result Found,,Bootja Bootja,TRUE,No Result Found,,No match,Found,Found
Marion Borgelt,No Result Found,,No Result Found,,Borgelt,TRUE,No Result Found,,No match,Found,Found
Euphemia Bostock,Euphemia Bostock,https://www.austlit.edu.au/austlit/page/A109106,Euphemia Bostock,https://www.austlit.edu.au/austlit/page/A109106,Bostock,TRUE,Euphemia Bostock,https://www.austlit.edu.au/austlit/page/A109106,Exact match,Bostock,Bostock
Ace Bourke,Garry Helm,https://www.austlit.edu.au/austlit/page/A81703,No Result Found,,Bourke,TRUE,,,"No match, but related record",Helm,Found
Dean Bowen,Dean Bowen,https://www.austlit.edu.au/austlit/page/A142215,Dean Bowen,https://www.austlit.edu.au/austlit/page/A142215,Bowen,TRUE,Dean Bowen,https://www.austlit.edu.au/austlit/page/A142215,Exact match,Bowen,Bowen
Robin (Gerard Penleigh) Boyd,Robin Boyd,https://www.austlit.edu.au/austlit/page/A61829,Robin Boyd,https://www.austlit.edu.au/austlit/page/A61829,Boyd,TRUE,Robin Boyd,https://www.austlit.edu.au/austlit/page/A61829,Exact match,Boyd,Boyd
Arthur Boyd,Arthur Boyd,https://www.austlit.edu.au/austlit/page/A59543,Arthur Boyd,https://www.austlit.edu.au/austlit/page/A59543,Boyd,TRUE,Arthur Boyd,https://www.austlit.edu.au/austlit/page/A59543,Exact match,Boyd,Boyd
Guy Boyd,Guy Boyd,https://www.austlit.edu.au/austlit/page/A63905,Guy Boyd,https://www.austlit.edu.au/austlit/page/A63905,Boyd,TRUE,Guy Boyd,https://www.austlit.edu.au/austlit/page/A63905,Exact match,Boyd,Boyd
Robert Boynes,Kate Llewellyn,https://www.austlit.edu.au/austlit/page/A25617,No Result Found,,Boynes,TRUE,,,"No match, but related record",Llewellyn,Found
John Brack,John Brack,https://www.austlit.edu.au/austlit/page/A61178,John Brack,https://www.austlit.edu.au/austlit/page/A61178,Brack,TRUE,John Brack,https://www.austlit.edu.au/austlit/page/A61178,Exact match,Brack,Brack
David Bromley,David Bromley,https://www.austlit.edu.au/austlit/page/A95290,David Bromley,https://www.austlit.edu.au/austlit/page/A95290,Bromley,TRUE,David Bromley,https://www.austlit.edu.au/austlit/page/A95290,Exact match,Bromley,Bromley
Hannah Brontë,Jazz Money,https://www.austlit.edu.au/austlit/page/13194030,No Result Found,,Brontë,TRUE,,,"No match, but related record",Money,Found
Jean Broome-Norton,No Result Found,,No Result Found,,Broome-Norton,TRUE,No Result Found,,No match,Found,Found
Jody Broun,Jody Broun,https://www.austlit.edu.au/austlit/page/A12307,Jody Broun,https://www.austlit.edu.au/austlit/page/A12307,Broun,TRUE,Jody Broun,https://www.austlit.edu.au/austlit/page/A12307,Exact match,Broun,Broun
Vincent Brown,James Robertson,https://www.austlit.edu.au/austlit/page/A145701,Coral Browne,https://www.austlit.edu.au/austlit/page/A103287,Brown,TRUE,,,"No match, but related record",Robertson,Browne
Mike Brown,Mike Brown,https://www.austlit.edu.au/austlit/page/11409727,Mike Brown,https://www.austlit.edu.au/austlit/page/11409727,Brown,TRUE,Mike Brown,https://www.austlit.edu.au/austlit/page/11409727,Exact match,Brown,Brown
Jimmy Tjampitjinpa Brown,No Result Found,,No Result Found,,Brown,TRUE,No Result Found,,No match,Found,Found
Aadje  Bruce,No Result Found,,No Result Found,,Bruce,TRUE,No Result Found,,No match,Found,Found
George Tjangala Bush,No Result Found,,No Result Found,,Bush,TRUE,No Result Found,,No match,Found,Found
Madison Bycroft,No Result Found,,No Result Found,,Bycroft,TRUE,No Result Found,,No match,Found,Found
Michael Callaghan,Michael Callaghan,https://www.austlit.edu.au/austlit/page/7886248,Michael Callaghan,https://www.austlit.edu.au/austlit/page/7886248,Callaghan,TRUE,Michael Callaghan,https://www.austlit.edu.au/austlit/page/7886248,Exact match,Callaghan,Callaghan
Robert Richmond Campbell,J. F. Archibald,https://www.austlit.edu.au/austlit/page/A4354,No Result Found,,Campbell,TRUE,,,"No match, but related record",Archibald,Found
Robert Campbell,Robert Campbell,https://www.austlit.edu.au/austlit/page/A6411,Robert Campbell,https://www.austlit.edu.au/austlit/page/A6411,Campbell,TRUE,Robert Campbell,https://www.austlit.edu.au/austlit/page/A6411,Exact match,Campbell,Campbell
Barbara Campbell,Barbara Campbell,https://www.austlit.edu.au/austlit/page/A130457,Barbara Campbell,https://www.austlit.edu.au/austlit/page/A130457,Campbell,TRUE,Barbara Campbell,https://www.austlit.edu.au/austlit/page/A130457,Exact match,Campbell,Campbell
Gaynor Alma Cardew,No Result Found,,No Result Found,,Cardew,TRUE,No Result Found,,No match,Found,Found
Irene Carter,Irene Carter,https://www.austlit.edu.au/austlit/page/A60129,Irene Carter,https://www.austlit.edu.au/austlit/page/A60129,Carter,TRUE,Irene Carter,https://www.austlit.edu.au/austlit/page/A60129,Exact match,Carter,Carter
Karen Casey,Karen Howie Casey,https://www.austlit.edu.au/austlit/page/26350344,Karen Howie Casey,https://www.austlit.edu.au/austlit/page/26350344,Casey,TRUE,Karen Howie Casey,https://www.austlit.edu.au/austlit/page/26350344,Exact match,Casey,Casey
John Chester Cato,No Result Found,,No Result Found,,Cato,TRUE,No Result Found,,No match,Found,Found
Jon Cattapan,No Result Found,,No Result Found,,Cattapan,TRUE,No Result Found,,No match,Found,Found
Katthy Cavaliere,No Result Found,,No Result Found,,Cavaliere,TRUE,No Result Found,,No match,Found,Found
Dora Cecil Chapman,No Result Found,,No Result Found,,Chapman,TRUE,No Result Found,,No match,Found,Found
Martyn Chapman,J. Harding Tucker,https://www.austlit.edu.au/austlit/page/A9694,J. Harding Tucker,https://www.austlit.edu.au/austlit/page/A9694,Chapman,TRUE,J. Harding Tucker,https://www.austlit.edu.au/austlit/page/A9694,"No match, but related record",Tucker,Tucker
Craig Charles,Craig Charles,https://www.austlit.edu.au/austlit/page/A51732,Craig Charles,https://www.austlit.edu.au/austlit/page/A51732,Charles,TRUE,Craig Charles,https://www.austlit.edu.au/austlit/page/A51732,Exact match,Charles,Charles
Dadang Christanto,Dadang Christanto,https://www.austlit.edu.au/austlit/page/A64132,Dadang Christanto,https://www.austlit.edu.au/austlit/page/A64132,Christanto,TRUE,Dadang Christanto,https://www.austlit.edu.au/austlit/page/A64132,Exact match,Christanto,Christanto
Gunter Christmann,No Result Found,,No Result Found,,Christmann,TRUE,No Result Found,,No match,Found,Found
Andrew Christofides,No Result Found,,No Result Found,,Christofides,TRUE,No Result Found,,No match,Found,Found
Marily Cintra,No Result Found,,No Result Found,,Cintra,TRUE,No Result Found,,No match,Found,Found
Isabell Coe,Isabel E. Coe,https://www.austlit.edu.au/austlit/page/A104463,Isabel E. Coe,https://www.austlit.edu.au/austlit/page/A104463,Coe,TRUE,Isabel E. Coe,https://www.austlit.edu.au/austlit/page/A104463,Exact match,Coe,Coe
Bindi Cole,Bindi Cole,https://www.austlit.edu.au/austlit/page/7620627,Bindi Cole,https://www.austlit.edu.au/austlit/page/7620627,Cole,TRUE,Bindi Cole,https://www.austlit.edu.au/austlit/page/7620627,Exact match,Cole,Cole
Anthony John Coleing,Margaret Wilson,https://www.austlit.edu.au/austlit/page/A145973,No Result Found,,Coleing,TRUE,,,"No match, but related record",Wilson,Found
Dahl Collings,No Result Found,,No Result Found,,Collings,TRUE,No Result Found,,No match,Found,Found
Peter Cooley,Peter Cooley,https://www.austlit.edu.au/austlit/page/A129710,Peter Cooley,https://www.austlit.edu.au/austlit/page/A129710,Cooley,TRUE,Peter Cooley,https://www.austlit.edu.au/austlit/page/A129710,Exact match,Cooley,Cooley
Yvette Coppersmith,Samantha Turnbull,https://www.austlit.edu.au/austlit/page/A145603,No Result Found,,Coppersmith,TRUE,,,"No match, but related record",Turnbull,Found
David Tjapaltjarri Corby,No Result Found,,No Result Found,,Corby,TRUE,No Result Found,,No match,Found,Found
Sean Cordeiro,No Result Found,,No Result Found,,Cordeiro,TRUE,No Result Found,,No match,Found,Found
Olive Cotton,Helen Ennis,https://www.austlit.edu.au/austlit/page/A93108,Olive Cotton,https://www.austlit.edu.au/austlit/page/6134036,Cotton,TRUE,Olive Cotton,https://www.austlit.edu.au/austlit/page/6134036,Exact match,Ennis,Cotton
Noel Counihan,Noel Counihan,https://www.austlit.edu.au/austlit/page/A3244,Noel Counihan,https://www.austlit.edu.au/austlit/page/A3244,Counihan,TRUE,Noel Counihan,https://www.austlit.edu.au/austlit/page/A3244,Exact match,Counihan,Counihan
Sybil Mary Frances Craig,No Result Found,,No Result Found,,Craig,TRUE,No Result Found,,No match,Found,Found
Brenda L Croft,Katherine Russo,https://www.austlit.edu.au/austlit/page/A89071,Brenda Croft,https://www.austlit.edu.au/austlit/page/A123364,Croft,TRUE,Brenda Croft,https://www.austlit.edu.au/austlit/page/A123364,Exact match,Russo,Croft
Daniel Crooks,Ian Meadows,https://www.austlit.edu.au/austlit/page/A129093,No Result Found,,Crooks,TRUE,,,"No match, but related record",Meadows,Found
Rina Cruickshank,No Result Found,,No Result Found,,Cruickshank,TRUE,No Result Found,,No match,Found,Found
Phillippa Cullen,No Result Found,,No Result Found,,Cullen,TRUE,No Result Found,,No match,Found,Found
Adam Cullen,Adam Cullen,https://www.austlit.edu.au/austlit/page/A68293,Adam Cullen,https://www.austlit.edu.au/austlit/page/A68293,Cullen,TRUE,Adam Cullen,https://www.austlit.edu.au/austlit/page/A68293,Exact match,Cullen,Cullen
Elisabeth Cummings,Kathryn Fry,https://www.austlit.edu.au/austlit/page/A22783,No Result Found,,Cummings,TRUE,,,"No match, but related record",Fry,Found
Nici Cumpston,Nici Cumpston,https://www.austlit.edu.au/austlit/page/8840745,Nici Cumpston,https://www.austlit.edu.au/austlit/page/8840745,Cumpston,TRUE,Nici Cumpston,https://www.austlit.edu.au/austlit/page/8840745,Exact match,Cumpston,Cumpston
Virginia Cuppaidge,Jolanta Garolis,https://www.austlit.edu.au/austlit/page/A28230,No Result Found,,Cuppaidge,TRUE,,,"No match, but related record",Garolis,Found
Lyndon Dadswell,Lyndon Dadswell,https://www.austlit.edu.au/austlit/page/A82360,Lyndon Dadswell,https://www.austlit.edu.au/austlit/page/A82360,Dadswell,TRUE,Lyndon Dadswell,https://www.austlit.edu.au/austlit/page/A82360,Exact match,Dadswell,Dadswell
Dolly Nampijinpa Daniels,Dolly Daniels Granites Nampijinpa,https://www.austlit.edu.au/austlit/page/A73239,Dolly Daniels Granites Nampijinpa,https://www.austlit.edu.au/austlit/page/A73239,Daniels,TRUE,Dolly Daniels Granites Nampijinpa,https://www.austlit.edu.au/austlit/page/A73239,Exact match,Nampijinpa,Nampijinpa
Alex Danko,Brian Reed,https://www.austlit.edu.au/austlit/page/18492754,No Result Found,,Danko,TRUE,,,"No match, but related record",Reed,Found
Beatrice Dean Darbyshire,No Result Found,,No Result Found,,Darbyshire,TRUE,No Result Found,,No match,Found,Found
Janet Dawson,Janet Dawson Boddy,https://www.austlit.edu.au/austlit/page/A119965,Janet Dawson Boddy,https://www.austlit.edu.au/austlit/page/A119965,Dawson,TRUE,Janet Dawson Boddy,https://www.austlit.edu.au/austlit/page/A119965,Exact match,Boddy,Boddy
Destiny Deacon,Destiny Deacon,https://www.austlit.edu.au/austlit/page/A150341,Destiny Deacon,https://www.austlit.edu.au/austlit/page/A150341,Deacon,TRUE,Destiny Deacon,https://www.austlit.edu.au/austlit/page/A150341,Exact match,Deacon,Deacon
Pamela Elizabeth Debenham,No Result Found,,No Result Found,,Debenham,TRUE,No Result Found,,No match,Found,Found
William Delafield-Cook,William Delafield Cook,https://www.austlit.edu.au/austlit/page/A123427,William Delafield Cook,https://www.austlit.edu.au/austlit/page/A123427,Delafield-Cook,TRUE,William Delafield Cook,https://www.austlit.edu.au/austlit/page/A123427,Exact match,Cook,Cook
John Dermer,No Result Found,,No Result Found,,Dermer,TRUE,No Result Found,,No match,Found,Found
Karla Dickens,Karla Dickens,https://www.austlit.edu.au/austlit/page/8840939,Karla Dickens,https://www.austlit.edu.au/austlit/page/8840939,Dickens,TRUE,Karla Dickens,https://www.austlit.edu.au/austlit/page/8840939,Exact match,Dickens,Dickens
Colin Tjapanangka Dixon,No Result Found,,No Result Found,,Dixon,TRUE,No Result Found,,No match,Found,Found
Mary Nungarrayi Dixon,Margo Stanislawska-Birnberg,https://www.austlit.edu.au/austlit/page/A1393,No Result Found,,Dixon,TRUE,,,"No match, but related record",Stanislawska-Birnberg,Found
Margaret Dodd,Margaret Macpherson,https://www.austlit.edu.au/austlit/page/A48768,Sydney Lionel May,https://www.austlit.edu.au/austlit/page/A1590,Dodd,TRUE,,,"No match, but related record",Macpherson,May
Kelly Doley,No Result Found,,No Result Found,,Doley,TRUE,No Result Found,,No match,Found,Found
Peter Dombrovskis,Peter Dombrovskis,https://www.austlit.edu.au/austlit/page/A78872,Peter Dombrovskis,https://www.austlit.edu.au/austlit/page/A78872,Dombrovskis,TRUE,Peter Dombrovskis,https://www.austlit.edu.au/austlit/page/A78872,Exact match,Dombrovskis,Dombrovskis
Ken Done,Ken Done,https://www.austlit.edu.au/austlit/page/A61308,Ken Done,https://www.austlit.edu.au/austlit/page/A61308,Done,TRUE,Ken Done,https://www.austlit.edu.au/austlit/page/A61308,Exact match,Done,Done
Billy Doolan Jr.,No Result Found,,No Result Found,,Doolan Jr.,TRUE,No Result Found,,No match,Found,Found
Heather Dorrough,No Result Found,,No Result Found,,Dorrough,TRUE,No Result Found,,No match,Found,Found
Blak Douglas,Susanna Freymark,https://www.austlit.edu.au/austlit/page/A142696,Adam Hill,https://www.austlit.edu.au/austlit/page/A105093,Douglas,TRUE,,,"No match, but related record",Freymark,Hill
Julie Dowling,Julie Dowling,https://www.austlit.edu.au/austlit/page/A55690,Julie Dowling,https://www.austlit.edu.au/austlit/page/A55690,Dowling,TRUE,Julie Dowling,https://www.austlit.edu.au/austlit/page/A55690,Exact match,Dowling,Dowling
Margaret Dredge,Vandorian,https://www.austlit.edu.au/austlit/page/A32257,No Result Found,,Dredge,TRUE,,,"No match, but related record",Vandorian,Found
Russell Drysdale,Russell Drysdale,https://www.austlit.edu.au/austlit/page/A54149,Russell Drysdale,https://www.austlit.edu.au/austlit/page/A54149,Drysdale,TRUE,Russell Drysdale,https://www.austlit.edu.au/austlit/page/A54149,Exact match,Drysdale,Drysdale
Douglas Dundas,Vera Newsom,https://www.austlit.edu.au/austlit/page/A20748,Helen Baldwin,https://www.austlit.edu.au/austlit/page/A45818,Dundas,TRUE,,,"No match, but related record",Newsom,Baldwin
Brian Dunlop,Lynne Strahan,https://www.austlit.edu.au/austlit/page/A5715,Brian Dunlop,https://www.austlit.edu.au/austlit/page/A66303,Dunlop,TRUE,Brian Dunlop,https://www.austlit.edu.au/austlit/page/A66303,Exact match,Strahan,Dunlop
Max Dupain,Max Dupain,https://www.austlit.edu.au/austlit/page/A117552,Max Dupain,https://www.austlit.edu.au/austlit/page/A117552,Dupain,TRUE,Max Dupain,https://www.austlit.edu.au/austlit/page/A117552,Exact match,Dupain,Dupain
Wladyslaw Dutkiewicz,Peter Mathers,https://www.austlit.edu.au/austlit/page/A28832,Ludwik Dutkiewicz,https://www.austlit.edu.au/austlit/page/7880985,Dutkiewicz,TRUE,Ludwik Dutkiewicz,https://www.austlit.edu.au/austlit/page/7880985,"No match, but related record",Mathers,Dutkiewicz
Michal Dutkiewicz,Michal Dutkiewicz,https://www.austlit.edu.au/austlit/page/A59236,Michal Dutkiewicz,https://www.austlit.edu.au/austlit/page/A59236,Dutkiewicz,TRUE,Michal Dutkiewicz,https://www.austlit.edu.au/austlit/page/A59236,Exact match,Dutkiewicz,Dutkiewicz
Moya Dyring,Peta Tait,https://www.austlit.edu.au/austlit/page/A2372,No Result Found,,Dyring,TRUE,,,"No match, but related record",Tait,Found
Eddie Tjapangati Ediminja,No Result Found,,No Result Found,,Ediminja,TRUE,No Result Found,,No match,Found,Found
Sandy Edwards,Sandy Edwards,https://www.austlit.edu.au/austlit/page/A96797,Sandy Edwards,https://www.austlit.edu.au/austlit/page/A96797,Edwards,TRUE,Sandy Edwards,https://www.austlit.edu.au/austlit/page/A96797,Exact match,Edwards,Edwards
Charlie Tjapaltjarri Egalie,No Result Found,,No Result Found,,Egalie,TRUE,No Result Found,,No match,Found,Found
Jeannie Nungarrayi Egan,Jeannie Egan Nungarrayi,https://www.austlit.edu.au/austlit/page/A123612,Jeannie Egan Nungarrayi,https://www.austlit.edu.au/austlit/page/A123612,Egan,TRUE,Jeannie Egan Nungarrayi,https://www.austlit.edu.au/austlit/page/A123612,Exact match,Nungarrayi,Nungarrayi
Betty Egan,Phillip Gwynne,https://www.austlit.edu.au/austlit/page/A3779,No Result Found,,Egan,TRUE,,,"No match, but related record",Gwynne,Found
Bonita Ely,Bonita Ely,https://www.austlit.edu.au/austlit/page/A148582,Bonita Ely,https://www.austlit.edu.au/austlit/page/A148582,Ely,TRUE,Bonita Ely,https://www.austlit.edu.au/austlit/page/A148582,Exact match,Ely,Ely
Merran Esson,No Result Found,,No Result Found,,Esson,TRUE,No Result Found,,No match,Found,Found
Rod Ewins,No Result Found,,No Result Found,,Ewins,TRUE,No Result Found,,No match,Found,Found
Dongwang Fan,Ruth Skilbeck,https://www.austlit.edu.au/austlit/page/A79128,No Result Found,,Fan,TRUE,,,"No match, but related record",Skilbeck,Found
James Fardoulys,No Result Found,,No Result Found,,Fardoulys,TRUE,No Result Found,,No match,Found,Found
Anne Ferran,No Result Found,,No Result Found,,Ferran,TRUE,No Result Found,,No match,Found,Found
Vanessa Fisher,Vanessa Fisher,https://www.austlit.edu.au/austlit/page/A100635,Vanessa Fisher,https://www.austlit.edu.au/austlit/page/A100635,Fisher,TRUE,Vanessa Fisher,https://www.austlit.edu.au/austlit/page/A100635,Exact match,Fisher,Fisher
Michael Fitzjames,No Result Found,,No Result Found,,Fitzjames,TRUE,No Result Found,,No match,Found,Found
Cedric Flower,Cedric Flower,https://www.austlit.edu.au/austlit/page/A30717,Cedric Flower,https://www.austlit.edu.au/austlit/page/A30717,Flower,TRUE,Cedric Flower,https://www.austlit.edu.au/austlit/page/A30717,Exact match,Flower,Flower
Bert Flugelman,Ron Pretty,https://www.austlit.edu.au/austlit/page/A6444,No Result Found,,Flugelman,TRUE,,,"No match, but related record",Pretty,Found
Joanna Flynn,Joanna Flynn,https://www.austlit.edu.au/austlit/page/A108515,Joanna Flynn,https://www.austlit.edu.au/austlit/page/A108515,Flynn,TRUE,Joanna Flynn,https://www.austlit.edu.au/austlit/page/A108515,Exact match,Flynn,Flynn
Roger Foley,Bridget Griffen-Foley,https://www.austlit.edu.au/austlit/page/A28162,David Carter,https://www.austlit.edu.au/austlit/page/A5257,Foley,TRUE,,,"No match, but related record",Griffen-Foley,Carter
