FullName,TopResultName,TopResultLink,TopResultName2,TopResultLink2,Surname,Expert_Checked,SelectedName,SelectedLink,Type,TopResultName_LastStr,TopResultName2_LastStr
Ken Searle,Ken Searle,https://www.austlit.edu.au/austlit/page/A51769,Ken Searle,https://www.austlit.edu.au/austlit/page/A51769,Searle,TRUE,Ken Searle,https://www.austlit.edu.au/austlit/page/A51769,Exact match,Searle,Searle
Udo Sellbach,Udo Sellbach,https://www.austlit.edu.au/austlit/page/A24153,Udo Sellbach,https://www.austlit.edu.au/austlit/page/A24153,Sellbach,TRUE,Udo Sellbach,https://www.austlit.edu.au/austlit/page/A24153,Exact match,Sellbach,Sellbach
Jan Feliks Senbergs,No Result Found,,No Result Found,,Senbergs,TRUE,No Result Found,,No match,Found,Found
Alexander Seton,E. V. Timms,https://www.austlit.edu.au/austlit/page/A19375,No Result Found,,Seton,TRUE,,,"No match, but related record",Timms,Found
Martin Sharp,Joyce Morgan,https://www.austlit.edu.au/austlit/page/A30558,Martin Sharp,https://www.austlit.edu.au/austlit/page/10406766,Sharp,TRUE,Martin Sharp,https://www.austlit.edu.au/austlit/page/10406766,Exact match,Morgan,Sharp
Marina Philomena Shaw,No Result Found,,No Result Found,,Shaw,TRUE,No Result Found,,No match,Found,Found
Rod Shaw,Roderick Malcolm Shaw,https://www.austlit.edu.au/austlit/page/A22325,Roderick Malcolm Shaw,https://www.austlit.edu.au/austlit/page/A22325,Shaw,TRUE,Roderick Malcolm Shaw,https://www.austlit.edu.au/austlit/page/A22325,Exact match,Shaw,Shaw
Garry Shead,Garry Shead,https://www.austlit.edu.au/austlit/page/A27734,Garry Shead,https://www.austlit.edu.au/austlit/page/A27734,Shead,TRUE,Garry Shead,https://www.austlit.edu.au/austlit/page/A27734,Exact match,Shead,Shead
Dorothy Short,Dorothy Walker,https://www.austlit.edu.au/austlit/page/10677108,Edward Dyson,https://www.austlit.edu.au/austlit/page/A2414,Short,TRUE,,,"No match, but related record",Walker,Dyson
Paddy Japaljarri Sims,Paddy Japaljarri Sims,https://www.austlit.edu.au/austlit/page/A106322,Paddy Japaljarri Sims,https://www.austlit.edu.au/austlit/page/A106322,Sims,TRUE,Paddy Japaljarri Sims,https://www.austlit.edu.au/austlit/page/A106322,Exact match,Sims,Sims
Bessie Nakamarra Sims,No Result Found,,No Result Found,,Sims,TRUE,No Result Found,,No match,Found,Found
Darren Siwes,No Result Found,,No Result Found,,Siwes,TRUE,No Result Found,,No match,Found,Found
Jeffrey Smart,Jeffrey Smart,https://www.austlit.edu.au/austlit/page/A61131,Jeffrey Smart,https://www.austlit.edu.au/austlit/page/A61131,Smart,TRUE,Jeffrey Smart,https://www.austlit.edu.au/austlit/page/A61131,Exact match,Smart,Smart
Sally Smart,Adrian Rawlins,https://www.austlit.edu.au/austlit/page/A210,No Result Found,,Smart,TRUE,,,"No match, but related record",Rawlins,Found
Joshua Smith,Joshua Smith,https://www.austlit.edu.au/austlit/page/14736984,Joshua Smith,https://www.austlit.edu.au/austlit/page/14736984,Smith,TRUE,Joshua Smith,https://www.austlit.edu.au/austlit/page/14736984,Exact match,Smith,Smith
Sam Smith,Smith Sam,https://www.austlit.edu.au/austlit/page/A111421,Smith Sam,https://www.austlit.edu.au/austlit/page/A111421,Smith,TRUE,Smith Sam,https://www.austlit.edu.au/austlit/page/A111421,"No match, but related record",Sam,Sam
Lance Vaiben Solomon,No Result Found,,No Result Found,,Solomon,TRUE,No Result Found,,No match,Found,Found
Bill Spencer,Henry Lawson,https://www.austlit.edu.au/austlit/page/A12465,Raymond Longford,https://www.austlit.edu.au/austlit/page/A61780,Spencer,TRUE,,,"No match, but related record",Lawson,Longford
Larry Jungarrayi Spencer,No Result Found,,No Result Found,,Spencer,TRUE,No Result Found,,No match,Found,Found
John Henry Spooner,No Result Found,,No Result Found,,Spooner,TRUE,No Result Found,,No match,Found,Found
Wes Stacey,Wes Stacey,https://www.austlit.edu.au/austlit/page/A115258,Wes Stacey,https://www.austlit.edu.au/austlit/page/A115258,Stacey,TRUE,Wes Stacey,https://www.austlit.edu.au/austlit/page/A115258,Exact match,Stacey,Stacey
nan Stelarc,No Result Found,,No Result Found,,Stelarc,TRUE,No Result Found,,No match,Found,Found
Billy Stockman,Margo Stanislawska-Birnberg,https://www.austlit.edu.au/austlit/page/A1393,Billy Stockman Tjapaltjarri,https://www.austlit.edu.au/austlit/page/A112508,Stockman,TRUE,,,"No match, but related record",Stanislawska-Birnberg,Tjapaltjarri
Constance Stokes,Lucilla Wyborn D'Abrera,https://www.austlit.edu.au/austlit/page/9137577,Constance Stokes,https://www.austlit.edu.au/austlit/page/9137625,Stokes,TRUE,Constance Stokes,https://www.austlit.edu.au/austlit/page/9137625,Exact match,D'Abrera,Stokes
Tim Storrier,Tim Storrier,https://www.austlit.edu.au/austlit/page/8604499,Tim Storrier,https://www.austlit.edu.au/austlit/page/8604499,Storrier,TRUE,Tim Storrier,https://www.austlit.edu.au/austlit/page/8604499,Exact match,Storrier,Storrier
David Strachan,Daniel Thomas,https://www.austlit.edu.au/austlit/page/A34009,David Strachan,https://www.austlit.edu.au/austlit/page/A137952,Strachan,TRUE,David Strachan,https://www.austlit.edu.au/austlit/page/A137952,Exact match,Thomas,Strachan
Mark Strizic,No Result Found,,No Result Found,,Strizic,TRUE,No Result Found,,No match,Found,Found
Maurice Claude Stubbs,No Result Found,,No Result Found,,Stubbs,TRUE,No Result Found,,No match,Found,Found
Joseph Szabo,No Result Found,,No Result Found,,Szabo,TRUE,No Result Found,,No match,Found,Found
Ron Tandberg,Barney Zwartz,https://www.austlit.edu.au/austlit/page/A119297,No Result Found,,Tandberg,TRUE,,,"No match, but related record",Zwartz,Found
Edwin Russell Tanner,No Result Found,,No Result Found,,Tanner,TRUE,No Result Found,,No match,Found,Found
Nyuwara Tapaya,No Result Found,,No Result Found,,Tapaya,TRUE,No Result Found,,No match,Found,Found
