,Know My Name,Alternative Name,category (Justin),category (SoN),Source,Notes
94,"Teague, Violet",Violet Helen Evangeline Teague,Extended/Shortened Name,Alternative Rendering,DAAO Alternative Name,
95,Thanakupi,Thancoupie,Typographical Variation,Alternative Rendering,"AWR Primary Name, DAAO Alternative Name",
96,Thanakupi,Gloria James Fletcher,Other,Indigenous Name,DAAO Alternative Name,
97,"Timbery, Esme",Esme Russell,Surname Change,Name Change,DAAO Alternative Name,"Born Esme Timbery, married name Russell."
98,"Traill, Jessie",Jessie Constance Alicia Traill,Extended/Shortened Name,Alternative Rendering,"AWR Primary Name, DAAO Alternative Name",
99,"Tribe, Barbara",Rhonda Barbara Tribe,Extended/Shortened Name,Alternative Rendering,DAAO Alternative Name,
100,"Waller, Christian",Christian Marjory Emily Carlyle Waller,Extended/Shortened Name,Alternative Rendering,DAAO Alternative Name,
101,"Waller, Christian",Christian Marjory Emily Carlyle Yandell,Surname Change,Name Change,DAAO Alternative Name,"Born Christian Marjory Emily Carlyle Yandell, married Napier Waller."
102,"Waller, Christian",Christian Yandell,Surname Change,Name Change,DAAO Alternative Name,"Born Christian Marjory Emily Carlyle Yandell, married Napier Waller."
103,"Whiting, Ada",Ada Cherry,Surname Change,Name Change,DAAO Alternative Name,"Born Ada Clara Cherry, married Saville Whiting."
